episode,reward,epsilon,avg_temp,max_temp,avg_util
1,-4735.065025924986,0.995,25.0,25.0,0.0813492089509964
2,-300.0466331928163,0.990025,25.0,25.0,0.0793650820851326
3,-300.0462694420925,0.985074875,25.0,25.0,0.07956349849700928
4,-300.0489432840572,0.9801495006250001,25.0,25.0,0.07916666567325592
5,-300.04221997443756,0.9752487531218751,25.0,25.0,0.0793650820851326
6,-300.0577107575136,0.9703725093562657,25.0,25.0,0.07976190745830536
7,-300.04329780614626,0.9655206468094844,25.0,25.0,0.0793650820851326
8,-300.1891541528837,0.960693043575437,25.0,25.0,0.08353175222873688
9,-310.1024029422592,0.9558895783575597,25.0,25.0,0.0813492089509964
10,-310.07834417056233,0.9511101304657719,25.0,25.0,0.0803571417927742
11,-300.11615859359284,0.946354579813443,25.0,25.0,0.08055555820465088
12,-350.0561338917271,0.9416228069143757,25.0,25.0,0.07777778059244156
13,-320.1120756385963,0.9369146928798039,25.0,25.0,0.07976190745830536
14,-310.12544019774685,0.9322301194154049,25.0,25.0,0.08571428805589676
15,-310.0453856365936,0.9275689688183278,25.0,25.0,0.07896825671195984
16,-330.066552531156,0.9229311239742362,25.0,25.0,0.07817460596561432
17,-310.05361739451456,0.918316468354365,25.0,25.0,0.07876984030008316
18,-360.0608743415463,0.9137248860125932,25.0,25.0,0.07678571343421936
19,-300.13991086608263,0.9091562615825302,25.0,25.0,0.09186508506536484
20,-360.21195914739536,0.9046104802746175,25.0,25.0,0.0902777835726738
21,-340.12348596725843,0.9000874278732445,25.0,25.0,0.0803571417927742
22,-340.10940964536894,0.8955869907338783,25.0,25.0,0.078373022377491
23,-340.0598403173594,0.8911090557802088,25.0,25.0,0.07817460596561432
24,-340.07667645544734,0.8866535105013078,25.0,25.0,0.0793650820851326
25,-320.0836949214073,0.8822202429488013,25.0,25.0,0.07976190745830536
26,-350.08138678067394,0.8778091417340573,25.0,25.0,0.07857143133878708
27,-360.07100084259974,0.8734200960253871,25.0,25.0,0.07698412984609604
28,-320.02382772285284,0.8690529955452602,25.0,25.0,0.07599207013845444
29,-340.062442538476,0.8647077305675338,25.0,25.0,0.07757937163114548
30,-370.07223021184177,0.8603841919146962,25.0,25.0,0.07658730447292328
31,-340.0990454960457,0.8560822709551227,25.0,25.0,0.07777777314186096
32,-360.0612448481213,0.851801859600347,25.0,25.0,0.07698412984609604
33,-380.0685314107164,0.8475428503023453,25.0,25.0,0.07619047909975052
34,-390.0418344261658,0.8433051360508336,25.0,25.0,0.07579365372657776
35,-350.0872117379452,0.8390886103705794,25.0,25.0,0.0773809552192688
36,-410.1023340078883,0.8348931673187264,25.0,25.0,0.07500000298023224
37,-390.07877213274776,0.8307187014821328,25.0,25.0,0.07579365372657776
38,-390.0533002516987,0.8265651079747222,25.0,25.0,0.07579365372657776
39,-430.0835438329691,0.8224322824348486,25.0,25.0,0.07420635223388672
40,-350.07461258960046,0.8183201210226743,25.0,25.0,0.0773809552192688
41,-440.04905644683635,0.8142285204175609,25.0,25.0,0.07281746715307236
42,-390.07074769385764,0.810157377815473,25.0,25.0,0.07519841939210892
43,-370.0317534337058,0.8061065909263957,25.0,25.0,0.07420635223388672
44,-420.02698069408933,0.8020760579717637,25.0,25.0,0.07460317760705948
45,-390.0986182164397,0.798065677681905,25.0,25.0,0.07559523731470108
46,-420.0888293105079,0.7940753492934954,25.0,25.0,0.07400794327259064
47,-420.0529110417682,0.7901049725470279,25.0,25.0,0.07460317760705948
48,-370.0822743192396,0.7861544476842928,25.0,25.0,0.07658730447292328
49,-420.1020241545816,0.7822236754458713,25.0,25.0,0.07460317760705948
50,-360.09036083394597,0.778312557068642,25.0,25.0,0.0763888955116272
51,-440.039292551313,0.7744209942832988,25.0,25.0,0.07380952686071396
52,-410.05858268782333,0.7705488893118823,25.0,25.0,0.07500000298023224
53,-520.0697336547894,0.7666961448653229,25.0,25.0,0.06984127312898636
54,-550.0046873267578,0.7628626641409962,25.0,25.0,0.06765872985124588
55,-350.0840782523646,0.7590483508202912,25.0,25.0,0.07718254625797272
56,-430.06380375490176,0.7552531090661897,25.0,25.0,0.0734126940369606
57,-500.04611900515243,0.7514768435208588,25.0,25.0,0.0694444477558136
58,-480.07286807049513,0.7477194593032545,25.0,25.0,0.07162699103355408
59,-420.0911435182848,0.7439808620067382,25.0,25.0,0.07460317760705948
60,-510.0254873733251,0.7402609576967045,25.0,25.0,0.0704365074634552
61,-509.9317824780335,0.736559652908221,25.0,25.0,0.06111111491918564
62,-530.0078276176379,0.7328768546436799,25.0,25.0,0.06865079700946808
63,-500.0590453402585,0.7292124703704616,25.0,25.0,0.0714285746216774
64,-430.0764411150589,0.7255664080186093,25.0,25.0,0.07420635223388672
65,-520.038992003929,0.7219385759785162,25.0,25.0,0.07023809850215912
66,-520.0247505016405,0.7183288830986236,25.0,25.0,0.07063492387533188
67,-590.0305190230979,0.7147372386831305,25.0,25.0,0.06825397163629532
68,-620.0515879931077,0.7111635524897149,25.0,25.0,0.06924603879451752
69,-470.08801048858743,0.7076077347272662,25.0,25.0,0.06607142835855484
70,-569.9999876802904,0.7040696960536299,25.0,25.0,0.06686508655548096
71,-529.9894476294735,0.7005493475733617,25.0,25.0,0.06904762238264084
72,-540.0295159857426,0.697046600835495,25.0,25.0,0.0694444477558136
73,-719.9836067704647,0.6935613678313175,25.0,25.0,0.06269841641187668
74,-620.1773941475655,0.6900935609921609,25.0,25.0,0.07222221791744232
75,-630.0915335739448,0.6866430931872001,25.0,25.0,0.072420634329319
76,-700.3481297558084,0.6832098777212641,25.0,25.0,0.08015873283147812
77,-580.0070956953285,0.6797938283326578,25.0,25.0,0.06428571790456772
78,-599.9395810559768,0.6763948591909945,25.0,25.0,0.06408730149269104
79,-570.0223975376284,0.6730128848950395,25.0,25.0,0.06805555522441864
80,-539.9492243635066,0.6696478204705644,25.0,25.0,0.05634921044111252
81,-539.7711861231943,0.6662995813682115,25.0,25.0,0.04603174701333046
82,-479.9470381176068,0.6629680834613705,25.0,25.0,0.05694444850087166
83,-570.042948047546,0.6596532430440636,25.0,25.0,0.0694444477558136
84,-600.0522089401737,0.6563549768288433,25.0,25.0,0.06706349551677704
85,-580.0866482463133,0.653073201944699,25.0,25.0,0.07063492387533188
86,-620.0979119659944,0.6498078359349755,25.0,25.0,0.06607142835855484
87,-750.1150547485037,0.6465587967553006,25.0,25.0,0.0674603134393692
88,-829.9647663182666,0.6433260027715241,25.0,25.0,0.05932539701461792
89,-720.2575394363764,0.6401093727576664,25.0,25.0,0.0783730074763298
90,-570.2778116055392,0.6369088258938781,25.0,25.0,0.07718254625797272
91,-670.0661694642421,0.6337242817644086,25.0,25.0,0.06607142835855484
92,-680.0067142740525,0.6305556603555866,25.0,25.0,0.06428571790456772
93,-589.9864845927386,0.6274028820538087,25.0,25.0,0.06289682537317276
94,-589.9555451936191,0.6242658676435396,25.0,25.0,0.06111111491918564
95,-589.9660474711175,0.6211445383053219,25.0,25.0,0.06011904776096344
96,-469.88762406165654,0.6180388156137953,25.0,25.0,0.04781746119260788
97,-739.9379675152477,0.6149486215357263,25.0,25.0,0.05813492462038994
98,-669.992486725295,0.6118738784280476,25.0,25.0,0.06309524178504944
99,-649.8549540466025,0.6088145090359074,25.0,25.0,0.05297619104385376
100,-630.038181133052,0.6057704364907278,25.0,25.0,0.06626984477043152
101,-660.0249262335947,0.6027415843082742,25.0,25.0,0.06468254327774048
102,-680.1045788413043,0.5997278763867329,25.0,25.0,0.06904762238264084
103,-650.0561770053962,0.5967292370047992,25.0,25.0,0.06666667014360428
104,-899.9597660764598,0.5937455908197752,25.0,25.0,0.05634921044111252
105,-620.0814882064659,0.5907768628656763,25.0,25.0,0.06666667014360428
