episode,total_reward
171,-1039.9134550360466
172,-1249.8825476360907
173,-1129.874043074862
174,-1109.8898073911707
175,-1189.8223903989326
176,-1259.8442440243764
177,-1229.8773967850764
178,-1179.9046049200817
179,-1259.8318875991918
180,-1279.847726305229
181,-1399.8347329493013
182,-1219.874298366836
183,-1169.8622402074955
184,-1089.9315624554245
185,-1289.811392872119
186,-1069.9278917862396
187,-1179.8851366384392
188,-1139.915526642424
189,-1289.8163256939813
190,-1289.8242970585272
191,-1199.859407699867
192,-1279.8230256822378
193,-1169.892875406859
194,-1209.828362666977
195,-1399.783567578351
196,-1179.8630240115847
197,-1159.8746224314007
198,-1119.8604606200197
199,-1229.8135086301688
200,-1029.925439083215
201,-1039.9087192788552
202,-1169.9515591498202
203,-1289.769824459208
204,-1279.8457445040897
205,-1329.7985442390564
206,-1299.7887951966743
207,-1359.8046779292672
208,-1199.882924939224
209,-1119.9015396225743
210,-1419.8081897436805
211,-1309.7392391915416
212,-1209.8157118872812
213,-1269.7695764617097
214,-1279.8725778010003
215,-1319.8083561658732
216,-1269.8342639296452
217,-1279.8968453249654
218,-1409.8072364126328
219,-1489.7974809038733
220,-1249.8331723214164
221,-1339.8217112986003
222,-1269.824172506812
223,-1249.8181764795286
224,-1429.7530170945017
225,-1429.7620735583796
226,-1319.796523946071
227,-1419.7580957527557
228,-1399.825822254975
229,-1379.8525122691924
230,-1469.8813659050095
231,-1369.9060693454621
232,-1269.7851552159898
233,-1429.7728604733857
234,-1229.7275276123844
235,-1479.7161484951466
236,-1399.8155873656162
237,-1339.8433366555773
238,-1349.883465130542
239,-1349.7986420741763
240,-1239.8321418988492
241,-1419.8724225543667
242,-1419.8207448557957
243,-1399.787997747494
244,-1339.779602474826
245,-1299.8250513093485
246,-1499.7406112884823
247,-1429.808560888946
248,-1349.8456568325448
249,-1469.7565913594972
250,-1489.741418021006
251,-1409.7919330895193
252,-1529.753954665791
253,-1419.80832553916
254,-1469.7951023572232
255,-1439.8231758506902
256,-1609.7594757094246
257,-1529.774815464415
258,-1499.7758623303898
259,-1529.7407234864302
260,-1439.7886068020084
261,-1479.7507653856755
262,-1499.7928799417161
263,-1609.786947948056
264,-1399.7965243688693
265,-1789.6964282623335
266,-1449.799381719492
267,-1589.7929171195378
268,-1449.8409342594748
269,-1599.7697985582797
270,-1549.7535971087605
271,-1539.7654792249957
272,-1429.8333508112937
273,-1569.8132377184108
274,-1589.7266770010554
275,-1599.779288397839
276,-1489.8109704676083
277,-1579.7616915585204
278,-1559.7635955639769
279,-1609.7798661080715
280,-1439.8078045375262
281,-1509.7478120902174
282,-1539.6982600863914
283,-1619.7346349695783
284,-1599.7458215203696
285,-1549.7537515265271
286,-1419.832695291664
287,-1569.7530255181005
288,-1749.7602678783956
289,-1339.865909258714
290,-1449.8130016339037
291,-1649.7496160578648
292,-1459.8395355400985
293,-1539.7826836231357
294,-1509.7974202280664
295,-1679.7313254982907
296,-1699.7191621499671
297,-1609.7839273941183
298,-1509.8021579446804
299,-1669.7369967455095
300,-1529.7929157452804
301,-1629.7444520640915
302,-1579.7950214773562
303,-1589.7530693315675
304,-1669.7380573126684
305,-1669.7412429410003
306,-1509.799421509075
307,-1619.7586190352238
308,-1509.7858232589324
309,-1679.7396492281296
310,-1619.755890789442
311,-1679.7766269450926
312,-1579.8209647573192
313,-1569.8220562859851
314,-1589.7660962049908
315,-1589.7636830999359
316,-1569.7813740245344
317,-1719.735291474599
318,-1649.7440974410513
319,-1639.7463283768118
320,-1649.753781253455
321,-1559.7839047333264
322,-1709.712926432585
323,-1709.727105246111
324,-1599.7903213370344
325,-1639.7653357722645
326,-1759.7148083417842
327,-1469.7418472003317
328,-1669.7318071061682
329,-1649.770523985376
330,-1729.7590790571955
331,-1639.7483559355544
332,-1669.7305938481138
333,-1589.7807526492634
334,-1859.6935843625422
335,-1679.7638216956918
336,-1789.7355580864548
337,-1599.7492426295635
338,-1589.7671732798008
339,-1609.755144938686
340,-1689.803177737174
341,-1719.7289920470182
342,-1619.7425559077074
343,-1599.7328454809963
344,-1829.7073150602798
345,-1529.8088563809279
346,-1849.6602075561993
347,-1579.764542239195
348,-1759.7065749230674
349,-1759.687762154665
350,-1649.7660415092694
351,-1719.7337302193393
352,-1659.770424705405
353,-1729.75559905629
354,-1659.752957005825
355,-1699.7721301833963
356,-1679.7306614647177
357,-1659.7218323344925
358,-1679.7004093079097
359,-1429.7774528587615
360,-1759.7113415568508
361,-1629.7351818838438
362,-1529.7911761139458
363,-1819.7240464146748
364,-1729.7577446744285
365,-1739.7172725607936
366,-1729.7171626988481
367,-1579.7881410594423
368,-1819.713722154279
369,-1729.742890354374
370,-1759.7399926214855
371,-1679.7597577867607
372,-1689.7150810636526
373,-1759.7923981452686
374,-1629.7107163072371
375,-1709.7549130724703
376,-1949.658518601096
377,-1569.7730651098855
378,-1669.7372362225128
379,-1829.7277724582543
380,-1639.7132276391126
381,-1549.8033575993998
382,-1809.7039120034256
383,-1739.7176268063988
384,-1599.7328169786022
385,-1769.713850814772
386,-1859.6817878180773
387,-1689.6677766226755
388,-1819.705669482058
389,-1799.7214849683867
390,-1739.7312678611806
391,-1899.694064761543
392,-1769.7353989060496
393,-1719.7406288851687
394,-1689.769903178902
395,-1679.757305456084
396,-1839.6996669239259
397,-1789.7249889509708
398,-1789.7268744057158
399,-1699.7799693510817
400,-1569.7911905095805
401,-1819.716028068254
402,-1669.7595493049687
403,-1759.7157334831986
404,-1859.6960723301358
405,-1809.7513368063467
406,-1789.7295460290827
407,-1909.6596452478402
408,-1819.7195078038108
409,-1869.7445746832873
410,-1809.716035838823
411,-1849.725359928909
412,-1819.7463391675665
413,-1799.6951842876547
414,-1749.7550913738125
415,-1769.7273609905758
416,-1689.7652027439512
417,-1719.768703238346
418,-1699.7367219984708
419,-1559.8170265365497
420,-1839.728951245248
421,-1749.7394243159076
422,-1799.7048698561293
423,-1759.7281376223125
424,-1699.7708469943007
425,-1859.6693734609196
426,-1709.7352495070238
427,-1849.7251697536599
428,-1899.7074804113122
429,-1699.7907842465618
430,-1769.7469451960133
431,-1719.754220929717
432,-1779.7347895450796
433,-1839.7312524801973
434,-1869.7053795642687
435,-1809.7126376289295
436,-1839.7492951680865
437,-1739.7692176448027
438,-1779.7502178210973
439,-1689.7558582777006
440,-1689.7840997201924
441,-1759.722330708089
442,-1739.7302885377976
443,-1889.6683936429733
444,-1899.7299534078827
445,-1849.7023764008227
446,-1829.713912259082
447,-1739.7833174588347
448,-1849.7386368718608
449,-1629.7533139465463
450,-1739.7194464286722
451,-1979.6876321269904
452,-1789.7015827479465
453,-1779.7762747137135
454,-1779.7156894015593
455,-1709.8005705976414
456,-1809.7661909826968
457,-1989.6698449778908
458,-1789.761228796514
459,-1849.7054625954204
460,-1859.7285440264554
461,-1799.7701360968783
462,-1729.7740308949906
463,-1839.7366831101983
464,-1729.7869691222113
465,-1809.738804591852
466,-1589.7785650523426
467,-1759.7480316912115
468,-1799.725507885775
469,-1729.7196921414659
470,-1839.7194649656312
471,-1849.708471915717
472,-1669.7678191869593
473,-1649.7497819336845
474,-1769.7223038877244
475,-1829.7354823457865
476,-1769.749400448928
477,-1689.7518049292592
478,-1819.777124095135
479,-1939.698768508652
480,-1809.719978988081
481,-1849.7364256003061
482,-1809.7218891004866
483,-1849.7039084512899
484,-1779.750242151842
485,-1769.7425681609077
486,-1899.6994689673857
487,-1899.721516519153
488,-1939.65825551916
489,-1819.7333872818936
490,-1909.7113629512473
491,-1789.785110356003
492,-1879.702626156445
493,-1739.735895933662
494,-1739.7853164644546
495,-1739.7660158097053
496,-1759.7975120577046
497,-1789.74069994274
498,-1829.7307327180347
499,-1889.6783967671506
500,-1859.6981100176092
501,-1879.7417908061427
502,-1709.7785238357285
503,-1779.710134220264
504,-1939.7002151654162
505,-1749.7563517215049
506,-1759.7833211113727
507,-1779.7182493435857
508,-1659.7913602546867
509,-1799.7142314188245
510,-1749.6904543471614
511,-1699.6829035500164
512,-1539.7698404514335
513,-1849.7290523080692
514,-1949.7005124476634
515,-1849.7336543662686
516,-1819.759878450892
517,-1879.7488303294915
518,-1699.797481206922
519,-1939.6959864937323
520,-1839.7142644578948
521,-1859.734150849098
522,-1839.7120700590588
523,-1879.7063243082343
524,-1759.780286999189
525,-1859.7221425184653
526,-1799.7248264986556
527,-1859.7533465322654
528,-1749.8222222402908
529,-1679.7671549514414
530,-1499.7237605901119
531,-1539.6931266518204
532,-1789.6717210808667
533,-1629.6994570476863
534,-1719.7048139174995
535,-1579.6937764048305
536,-1729.677917435382
537,-1719.6865005399757
538,-1699.7054280798006
539,-1699.7139696487013
540,-1879.689144926018
541,-1839.7423082567204
542,-1749.7711397059786
543,-1829.7034575893554
544,-1879.6563901226364
545,-1859.7152857880526
546,-1849.7257751962984
547,-1979.726201686758
548,-1949.7285607427286
549,-1909.6862493710823
550,-1759.768394710345
551,-1869.738259430665
552,-1809.8039340667826
553,-1919.7226796682003
554,-1699.7600206915492
555,-1879.7627618962129
556,-1839.7331212480738
557,-1999.634100753658
558,-1719.82476274312
559,-1899.7121605789637
560,-1859.7549946331462
561,-1879.7523920021288
562,-1809.7647279564012
563,-1879.6891571843557
564,-1889.6956026330702
565,-1839.781038114718
566,-1549.8066073408947
567,-1739.776830287829
568,-1769.7965826189077
569,-1759.7794978775378
570,-2009.6963725108324
571,-1869.7087884238388
572,-1889.7404902663468
573,-1889.7458919982007
574,-1919.682687018743
575,-1719.791143965504
576,-1969.6929042153774
577,-2039.6424622407196
578,-1719.7592199960893
579,-1969.6737376348196
580,-2019.6894644410127
581,-1919.6954870437442
582,-1919.7000676556163
583,-1649.8525751928103
584,-1839.7461329036237
585,-2009.6856114622658
586,-1769.784648527407
587,-1659.8122697817769
588,-1889.718415649809
589,-1729.7853646214337
590,-1869.7708901050974
591,-1859.7333963400201
592,-1709.8390804938927
593,-1799.72570730479
594,-1839.712050802077
595,-1829.7424077260441
596,-1809.7682956218162
597,-1919.7310406406757
598,-1949.6959193551102
599,-1949.711402458936
600,-1759.8295223483576
601,-1789.7618066774883
602,-1799.7386856241728
603,-1789.7786083132219
604,-1959.7436463445688
605,-1869.737653189134
606,-1769.7719912506777
607,-1759.824294625848
608,-1799.7770618101551
609,-1929.7502144168031
610,-1859.7329636803179
611,-1819.775272399344
612,-1679.8026673726783
613,-1919.718150405931
614,-1609.8662226787596
615,-1729.8105948104837
616,-1839.7638199976732
617,-1799.8164960812057
618,-1849.739749927322
619,-1869.781403837896
620,-1779.773042329696
621,-1869.7464239378946
622,-1789.8099450970512
623,-1889.7575694288673
624,-1929.7051337299354
625,-1959.6893564559018
626,-1919.7028022326974
627,-1859.7344012853334
628,-1789.7880333791104
629,-1869.7601537620385
630,-1819.7691093864823
631,-1919.7367120263725
632,-1739.789686021172
633,-1939.7078097462438
634,-1769.806380814302
635,-1889.709988043117
636,-1759.7462185773607
637,-1969.7013493755628
638,-1629.831205568279
639,-1689.803701344053
640,-1769.788868582139
641,-1849.7141935117238
642,-1959.7175499125615
643,-1999.71140198264
644,-1889.758539172093
645,-1919.741185413551
646,-1899.7426015482977
647,-1849.758499064654
648,-1849.71216540068
649,-1799.7592045189047
650,-1709.8313301922215
651,-1779.7684126552574
652,-1749.8335178875006
653,-1809.7468731242889
654,-1809.797960611671
655,-1659.8257712626823
656,-2049.6754825756725
657,-1899.7256733788804
658,-1789.797246555439
659,-1709.8309644995668
660,-1809.7643402524463
661,-1469.8518433166666
662,-2079.6753378325757
663,-1689.7147268086571
664,-1599.784578563376
665,-1909.7287869922504
666,-1869.7407111978869
667,-1729.811956693345
668,-1819.7787295302046
669,-1799.7669294878235
670,-1869.757868219886
671,-1739.8185561033167
672,-1859.686836897821
673,-1799.789775682384
674,-1889.7455134456666
675,-1729.7970204924288
676,-1799.7858167098348
677,-1769.7770808892378
678,-1869.7348885718131
679,-1969.6747742352995
680,-1909.7335289885505
681,-1929.7195669601786
682,-1809.7789012619264
683,-1619.8236845100087
684,-1829.7580778496915
685,-1829.7598746391147
686,-1699.772560244181
687,-1889.7215891966746
688,-1919.6934287073109
689,-1849.7142050002615
690,-1739.7331848878584
691,-1759.7771325132555
692,-1799.7899406419588
693,-1839.7671655730555
694,-1969.727586455653
695,-1869.7355769333178
696,-1889.7216182059522
697,-1859.7984862695141
698,-1829.7532636735662
699,-1799.781536613551
700,-1709.8096543237668
701,-1829.761513756084
702,-1729.8107289084605
703,-1839.7485894366484
704,-1889.7353779921873
705,-1909.7499889899002
706,-1779.793426594139
707,-1839.794222288102
708,-1879.7425679271198
709,-1739.8105087274791
710,-1829.763241653217
711,-1949.7104143569663
712,-1979.6875517101191
713,-1949.7059880603795
714,-1839.7619409487647
715,-1829.776547249191
716,-1879.7291433785172
717,-1949.7022149950253
718,-1879.7480826508001
719,-1999.7237238449736
720,-1739.812835458179
721,-1779.7903766669447
722,-1739.8055232412532
723,-1889.7822041368242
724,-1989.7333102640762
725,-1859.7415864998222
726,-1629.7863964878545
727,-1779.7665182834335
728,-1759.7504670643923
729,-1779.6997673801563
730,-1789.7196309151027
731,-2039.6679955959605
732,-1929.7539675419828
733,-1859.7116122673854
734,-1689.7514154273986
735,-1799.7547874995932
736,-1749.7467812549748
737,-1819.7829001498817
738,-1729.7612561388082
739,-1789.765053885684
740,-1929.7135453668
741,-1789.770009732224
742,-1849.767636824694
743,-1639.7119453474227
744,-1859.7741938267604
745,-1669.777123218408
746,-1769.8052030965368
747,-1829.750212069967
748,-1829.7858325951884
749,-1839.755022198541
750,-1839.7561717249955
751,-1829.7883729350865
752,-1969.7363507245545
753,-1739.7616870697052
754,-2059.6651759929878
755,-1949.7148776816232
756,-1839.7677732487691
757,-1769.7632166515689
758,-1819.7932543499455
759,-1849.76281386832
760,-1519.864102518444
761,-1829.7683047870064
762,-1779.823588435899
763,-1779.7532413366343
764,-1889.7284639038642
765,-1879.7514445425306
766,-1909.7648423648125
767,-1809.742255792814
768,-1959.7203267610778
769,-1849.7200887494228
770,-1989.7028773719205
771,-1879.7776339779705
772,-1899.7060807276816
773,-1699.8239371221507
774,-2009.694794179764
775,-1959.6947361636683
776,-1399.8320186558956
777,-1619.8642297101342
778,-1779.718552499658
779,-1759.7492444694815
780,-1779.7734906608268
781,-1829.7375550646277
782,-1909.7177995863967
783,-1739.7393572491105
784,-1749.7944210144508
785,-1869.7872707690851
786,-1949.7103553161915
787,-1739.8232093840666
788,-1849.7692234014453
789,-1839.7887012899596
790,-2059.6532567221434
791,-1659.8621968854009
792,-1789.7584369489146
793,-1909.6875029160317
794,-1849.7706419312253
795,-1879.7816233376448
796,-1829.8074615612684
797,-1889.7500100801653
798,-1729.8000717482955
799,-1849.7651649490003
800,-1849.7731358535216
801,-1959.7121025595236
802,-1909.7161268958657
803,-1949.7135716260632
804,-1939.7081799489897
805,-1809.742223022628
806,-1879.7568066412919
807,-1879.7192798733145
808,-1839.779243106029
809,-1899.7370946519256
810,-1569.8779977127574
811,-1749.7835165053546
812,-1679.8440641408247
813,-1839.7657915435773
814,-1789.7571385423673
815,-1829.816000646462
816,-1819.738995463016
817,-1879.730288149127
818,-1819.7567408398352
819,-1819.7636600697947
820,-1839.745043270002
821,-1679.7571588573041
822,-1699.7854058986927
823,-1909.7657132074721
824,-1839.7308884709757
825,-1869.7618190573198
826,-1769.7994498917176
827,-1719.801484217142
828,-1679.9014261673933
829,-1939.7079653574438
830,-1819.7910239131354
831,-1809.8055379128325
832,-1919.717223037743
833,-1869.751788760399
834,-1849.774979082982
835,-1769.778265961358
836,-1819.7723616390815
837,-1849.7961891167563
838,-1929.7453632368188
839,-1919.7484481289134
840,-1879.7587713653688
841,-1889.7119479679675
842,-1789.8118246751326
843,-1799.7693438802953
844,-1949.699792661498
845,-1799.8243070021529
846,-1859.7652868814698
847,-1859.7700315975014
848,-1859.801777671916
849,-1859.7551989848528
850,-1869.7584241870547
851,-1839.758148843209
852,-1659.779459357292
853,-1819.7477934995975
854,-1779.733934987242
855,-1699.783563479884
856,-1669.7770833198758
857,-1739.8089243699492
858,-1589.8840501596674
859,-1799.8083326183767
860,-1789.77582919289
861,-1919.7610725486618
862,-1949.7135268494883
863,-1929.6996757702466
864,-1789.7716129209343
865,-1739.750103733284
866,-1509.7450046990239
867,-1789.7163559815074
868,-1809.7442426474695
869,-1679.759668216837
870,-1879.7582794646144
871,-1949.6938586579429
872,-1899.7448892548255
873,-1889.700170726773
874,-1879.7563679026375
875,-1729.7241143230492
876,-1749.7559904138177
877,-1949.710878953634
878,-1919.747688109907
879,-1839.789670943649
880,-1959.7089818322747
881,-1769.7753615309593
882,-1859.7731542953798
883,-1769.7980411688336
884,-1909.7658586218383
885,-1819.7814857828803
886,-2009.7047202603276
887,-1939.7495422912273
888,-1879.8057230267154
889,-1799.7967861153065
890,-1879.771683153587
891,-1899.7161537930701
892,-1839.8320103557974
893,-1729.8533672547885
894,-1799.7616335847592
895,-1589.720556374057
896,-1799.7243134684138
897,-1819.7593343991343
898,-1999.6884334069962
899,-2069.669497211372
900,-2059.699690921041
901,-1869.7520437150392
902,-1899.755386784922
903,-2019.717600521687
904,-1889.7282636074906
905,-1869.7764684315202
906,-1989.7249334979347
907,-1779.7733503443305
908,-1949.6919535470533
909,-1939.7545485770177
910,-1839.733794960075
911,-1669.840494663643
912,-1949.732463640641
913,-1939.736483631307
914,-1939.778280787199
915,-1939.7333008391042
916,-1869.7287940557296
917,-1869.78693178256
918,-1889.732451360327
919,-1859.7680500238475
920,-1899.7337214505728
921,-1749.8409147719433
922,-1759.8253863174375
923,-1839.782944482325
924,-1959.7344397395877
925,-2009.690451741854
926,-1979.7432464543774
927,-1799.7753442087626
928,-1859.75276330401
929,-1679.8577951293105
930,-1859.7670938905956
931,-1779.7613433675554
932,-1979.6760814817774
933,-1699.8094616370377
934,-2009.6790868543644
935,-1829.7449363107078
936,-1829.732694537746
937,-1809.7457483804064
938,-1849.810510033682
939,-2009.7246730843945
940,-1899.751962554359
941,-1759.8010397703094
942,-1949.7420503539506
943,-1789.7844817120297
944,-1849.8072372937215
945,-1969.7182212866385
946,-1979.712862350413
947,-1909.7838143851175
948,-1719.7825394873332
949,-1899.76359689858
950,-1939.7256291986262
951,-1839.7503886352583
952,-1819.7942166160074
953,-1869.7590571250596
954,-1899.7356449861143
955,-1889.776947415957
956,-1929.7303128014007
957,-1939.767961484064
958,-1989.7410271847148
959,-1849.808618339551
960,-1829.8286478408843
961,-1809.7809050991896
962,-1929.7133888624721
963,-1909.7640591570364
964,-1959.7205758732068
965,-1949.704437635045
966,-1809.8142198714122
967,-1879.786454920821
968,-1779.8276888210319
969,-1939.7207921980605
970,-1889.735579578061
971,-1689.8506977406296
972,-1839.8048346949079
973,-1939.7366776482631
974,-1939.7310102562867
975,-1989.72166026652
976,-1929.7401936065125
977,-1929.7284552971225
978,-1969.7220811712523
979,-1979.7533704305852
980,-1939.7202875579042
981,-1949.7034817215265
982,-1809.779356710997
983,-1899.7552746060758
984,-1949.732557740713
985,-1739.8025408528736
986,-1839.7630834977804
987,-1919.7525090665465
988,-1949.718364613728
989,-1829.8163270131452
990,-1759.772658566802
991,-1949.7479230192819
992,-2059.695830811785
993,-2009.7140738121295
994,-1799.7751260861482
995,-1889.7832254110215
996,-1849.7532709668287
997,-1909.7126141003387
998,-2059.711427991768
999,-1939.7196003184695
1000,-1939.7669705731673
